2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=3, price=100.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=4, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=5, price=100.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=6, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=10, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=11, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=12, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=13, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=14, price=55.0, payday=2025-04-14, abonament=Abonament{id=2, abonamentType=BASIC, client=Client{id=2, name='Maria', surname='Kowalska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=15, price=145.0, payday=2025-04-14, abonament=Abonament{id=3, abonamentType=PREMIUM, client=Client{id=3, name='Pola', surname='Rosowska'}}}.
2025-04-14 13:52:39 [scheduling-1] INFO  monitLogger - You have less than a day (due day = 2025-04-14) to pay for the receivable: Receivables{id=19, price=145.0, payday=2025-04-14, abonament=Abonament{id=1, abonamentType=PREMIUM, client=Client{id=1, name='Janek', surname='Kowlczyk'}}}.
